,sqft_living,sqft_lot,sqft_above,sqft_basement,sqft_living15,sqft_lot15,bedrooms,bathrooms,floors,view_encoded,condition_encoded,grade_encoded,tempo_imovel,tempo_renovacao,zipcode_encoded
19769,0.07320754716981133,0.0004543144425349776,0.08223684210526316,0.04564315352697095,0.1481672689726381,0.0009430830429993026,3,1,2,0.0,0.0,0.0,19,0,15.0
18934,0.13207547169811323,0.004577066570392388,0.19188596491228072,0.0,0.2823954568921012,0.008910469140737625,4,2,2,0.0,0.0,0.0,30,0,29.0
2371,0.17433962264150946,0.06364460737842999,0.11074561403508772,0.2697095435684647,0.265358802271554,0.2386850137097395,3,1,1,0.0,2.0,0.0,44,0,10.0
17614,0.05962264150943396,0.004219672542264872,0.07675438596491228,0.01867219917012448,0.13267940113577698,0.008212059286725961,3,1,1,0.0,0.0,1.0,82,0,8.0
9038,0.06716981132075472,0.006870445876308955,0.09758771929824563,0.0,0.1963517466873172,0.008556669412060664,3,1,1,0.0,2.0,0.0,76,0,42.0
17296,0.08301886792452831,0.03662622460457985,0.1206140350877193,0.0,0.21011874032008265,0.027079463648800928,1,1,1,0.0,0.0,1.0,64,0,10.0
17760,0.16000000000000003,0.0039101329687510405,0.13377192982456143,0.18672199170124482,0.25486146962657036,0.006437317141252244,4,1,1,0.0,0.0,0.0,67,0,10.0
13234,0.17811320754716983,0.004497712981096278,0.2587719298245614,0.0,0.13784202374806404,0.008349903336859843,4,2,2,0.0,0.0,4.0,18,0,1.0
12123,0.15547169811320757,0.004615834736155373,0.125,0.1908713692946058,0.3856479091378421,0.009245889662730069,4,2,1,0.0,2.0,2.0,47,0,45.0
2682,0.1569811320754717,0.005792812018615988,0.22807017543859648,0.0,0.3391843056272587,0.010891977361412165,4,2,2,0.0,1.0,2.0,58,0,47.0
15801,0.11924528301886793,0.0033195241934555696,0.1732456140350877,0.0,0.1929099982791258,0.007487229323105304,4,2,1,0.0,0.0,0.0,68,0,1.0
14529,0.21509433962264154,0.007433795785052327,0.3125,0.0,0.36327654448459823,0.013946371772295412,4,2,2,0.0,2.0,4.0,47,0,29.0
3522,0.09509433962264151,0.003828356369094745,0.1381578947368421,0.0,0.3391843056272587,0.004490269933111175,3,1,1,0.0,0.0,0.0,106,0,14.0
6602,0.21735849056603776,0.02845946818557109,0.3157894736842105,0.0,0.48029599036310455,0.03958306769636172,4,2,2,0.0,0.0,6.0,36,0,47.0
5485,0.08528301886792453,0.004216038026724592,0.12390350877192984,0.0,0.22732748236103945,0.008097189244947728,3,1,1,0.0,2.0,0.0,61,0,23.0
15146,0.1449056603773585,0.006223502110139147,0.13706140350877194,0.13900414937759337,0.3150920667699192,0.011604171620437217,3,2,1,0.0,0.0,0.0,57,0,0.0
69,0.21962264150943397,0.011895769363335855,0.14364035087719296,0.33195020746887965,0.5147134744450181,0.022407699049680145,5,2,1,0.0,0.0,2.0,59,0,34.0
6502,0.0649056603773585,0.0055002335176234625,0.09429824561403509,0.0,0.1929099982791258,0.010711631395820338,3,1,1,0.0,0.0,0.0,45,0,40.0
12924,0.24301886792452834,0.014588945378683202,0.3530701754385965,0.0,0.5388057133023576,0.029891482271532103,4,2,2,0.0,0.0,6.0,27,0,5.0
3311,0.07849056603773585,0.0027743468624135967,0.0668859649122807,0.08921161825726141,0.18946824987093447,0.005110568158713639,3,1,1,0.0,0.0,0.0,82,0,11.0
20543,0.09358490566037736,0.0004597662158453974,0.0905701754385965,0.08589211618257261,0.15849251419721222,0.0008913915241990974,3,2,2,0.0,0.0,0.0,17,0,42.0
6529,0.12905660377358494,0.00447045411454418,0.11074561403508772,0.14522821576763484,0.2755119600757185,0.009742128243212042,5,2,1,0.0,2.0,0.0,38,0,10.0
16875,0.07471698113207548,0.0016234169413249868,0.10855263157894736,0.0,0.15849251419721222,0.0011774179282269006,3,1,1,0.0,0.0,0.0,121,0,32.0
8999,0.1818867924528302,0.002123162828113462,0.16118421052631582,0.1950207468879668,0.20323524350369992,0.003875715209597622,3,2,2,0.0,2.0,2.0,117,0,32.0
20277,0.07245283018867925,0.00038162413172938126,0.08662280701754387,0.035269709543568464,0.14644639476854243,0.0005732015084733886,3,2,2,0.0,0.0,2.0,15,0,50.0
16896,0.13433962264150945,0.003929517051632533,0.19517543859649122,0.0,0.29788332472896234,0.008556669412060664,4,2,2,0.0,0.0,0.0,28,0,49.0
18559,0.08,0.0012357352836951392,0.11622807017543861,0.0,0.2410944759938049,0.0021928690975464905,2,2,1,0.0,2.0,2.0,50,0,20.0
17103,0.2128301886792453,0.0033195241934555696,0.1392543859649123,0.32157676348547715,0.2858372053002926,0.006144398534717746,3,2,1,3.0,0.0,2.0,57,0,50.0
13768,0.19245283018867926,0.0033255817193560363,0.27960526315789475,0.0,0.4028566511787989,0.005580386629586617,5,2,2,0.0,0.0,2.0,21,0,24.0
11207,0.21660377358490568,0.0054548020733699645,0.31469298245614036,0.0,0.3443469282395457,0.010193567507400502,4,3,2,0.0,0.0,6.0,27,0,16.0
20348,0.1018867924528302,0.0025405263626555948,0.14802631578947367,0.0,0.23593185338151784,0.004768255434214502,3,2,1,0.0,0.0,2.0,15,0,9.0
15356,0.1849056603773585,0.005794629276386128,0.12609649122807015,0.2697095435684647,0.22560660815694378,0.010555408139001939,4,1,1,0.0,0.0,0.0,52,0,41.0
5293,0.23924528301886797,0.0021062017555921564,0.2489035087719298,0.18672199170124482,0.25141972121837897,0.0038469976991530627,4,3,2,0.0,0.0,6.0,20,0,14.0
11483,0.1267924528301887,0.005091350519341982,0.09649122807017545,0.16597510373443983,0.26002409223885736,0.008470516880726989,5,1,1,0.0,1.0,0.0,47,0,10.0
15460,0.2552452830188679,0.005586250385410085,0.29780701754385963,0.13817427385892117,0.299604198933058,0.009726046437363089,5,3,2,0.0,0.0,4.0,18,0,17.0
8207,0.09433962264150944,0.0032710639862518387,0.13706140350877194,0.0,0.21183961452417832,0.006392517824958732,4,2,1,0.0,1.0,0.0,89,0,1.0
16704,0.13735849056603774,0.0019565808658506367,0.19956140350877194,0.0,0.2238857339528481,0.004995698116935406,4,2,2,0.0,0.0,2.0,24,0,22.0
20306,0.10113207547169811,0.0042881225849401424,0.14692982456140352,0.0,0.28067458268800555,0.007981170502751711,3,2,1,0.0,0.0,6.0,18,0,22.0
1878,0.21886792452830192,0.03176142555391531,0.31798245614035087,0.0,0.48029599036310455,0.05829539750203607,4,2,2,0.0,2.0,6.0,44,0,36.0
14642,0.31622641509433963,0.025560942042197936,0.4594298245614035,0.0,0.47169161934262616,0.04707489182113816,4,3,2,0.0,0.0,4.0,37,0,10.0
15039,0.17509433962264154,0.009611476346269987,0.2543859649122807,0.0,0.3770435381173637,0.014137056041647281,3,3,2,2.0,0.0,4.0,18,0,1.0
11576,0.23396226415094343,0.005597153932030924,0.1600877192982456,0.34024896265560167,0.337463431423163,0.010279720038734176,5,2,1,0.0,1.0,2.0,46,0,23.0
14519,0.1049056603773585,0.01023055549329765,0.1524122807017544,0.0,0.22044398554465672,0.00970651853026079,3,1,1,0.0,0.0,0.0,62,0,47.0
7709,0.1388679245283019,0.005220981573611963,0.2017543859649123,0.0,0.30132507313715373,0.008646268044647687,4,2,2,0.0,0.0,4.0,36,0,44.0
1172,0.129811320754717,0.0019063034008767663,0.18859649122807015,0.0,0.3357425572190673,0.0033875175320401264,3,2,2,0.0,0.0,4.0,16,0,21.0
3864,0.15849056603773587,0.002381819184063376,0.16447368421052633,0.12448132780082988,0.380485286525555,0.004995698116935406,3,1,2,4.0,0.0,4.0,95,0,13.0
12826,0.2732075471698113,0.013441649973134873,0.3969298245614035,0.0,0.4338323868525211,0.01825629573981476,4,2,1,0.0,0.0,2.0,116,21,34.0
20727,0.14037735849056607,0.09757886747284258,0.11403508771929825,0.17012448132780084,0.3443469282395457,0.23793031753525648,3,2,2,0.0,0.0,0.0,29,0,9.0
13970,0.13433962264150945,0.004607959952484766,0.1425438596491228,0.0995850622406639,0.2841163310961969,0.008592279125011917,4,2,1,0.0,0.0,4.0,100,21,1.0
4747,0.13358490566037737,0.0012302835103847195,0.17653508771929827,0.03319502074688797,0.2858372053002926,0.002624780454632651,3,2,2,0.0,0.0,2.0,23,0,10.0
10685,0.09509433962264151,0.0029566783920176344,0.1381578947368421,0.0,0.23076923076923078,0.004404117401777499,3,2,2,0.0,0.0,0.0,24,0,10.0
10631,0.07924528301886792,0.007629453871637391,0.11513157894736843,0.0,0.16709688521769062,0.011658160540072987,3,1,1,0.0,0.0,0.0,46,0,40.0
7437,0.11018867924528301,0.003392214504261166,0.09429824561403509,0.12448132780082988,0.16365513680949922,0.006282242584851628,4,2,1,0.0,0.0,0.0,62,0,11.0
14533,0.0649056603773585,0.004219672542264872,0.09429824561403509,0.0,0.19118912407503014,0.007851367355542307,3,1,1,0.0,0.0,0.0,54,0,35.0
9253,0.39954716981132077,0.04103186319198904,0.5804824561403509,0.0,0.7969368439167097,0.11630591730046211,4,4,2,0.0,0.0,3.0,26,0,10.0
16150,0.18113207547169813,0.0026041303846104915,0.2631578947368421,0.0,0.337463431423163,0.004799270345494624,3,2,2,0.0,0.0,0.0,20,0,43.0
807,0.15849056603773587,0.0057219389655805315,0.11732456140350876,0.21369294605809128,0.299604198933058,0.011558223603725925,3,2,1,0.0,1.0,2.0,47,0,45.0
6723,0.15320754716981133,0.0023030713473573133,0.09320175438596491,0.24481327800829875,0.24453622440199624,0.004216879233678977,4,1,1,0.0,0.0,0.0,114,0,33.0
20295,0.3411320754716981,0.011104050728144901,0.4956140350877193,0.0,0.6145241782825676,0.022144646654007987,4,4,2,1.0,0.0,3.0,17,0,34.0
88,0.09962264150943397,0.0009207439368708881,0.14473684210526316,0.0,0.2669075890552401,0.0015783143740329378,2,2,2,0.0,2.0,0.0,45,0,25.0
4658,0.13509433962264153,0.00703521058080164,0.13596491228070173,0.11410788381742738,0.3305799346067803,0.013496081208524734,3,2,1,0.0,2.0,2.0,51,0,20.0
7455,0.1826415094339623,0.029393538679423008,0.26535087719298245,0.0,0.3718809155050766,0.043121064983131334,4,2,2,0.0,0.0,4.0,36,0,10.0
6582,0.09358490566037736,0.004835722926342302,0.09429824561403509,0.07883817427385892,0.20839786611598693,0.009072435899644935,3,1,1,0.0,2.0,0.0,41,0,47.0
5603,0.1388679245283019,0.002615639683821378,0.2017543859649123,0.0,0.11547065909482017,0.004809608649254666,4,3,1,0.0,2.0,0.0,94,0,52.0
6813,0.06867924528301887,0.005209472274401077,0.07785087719298246,0.04149377593360996,0.213560488728274,0.00982023987162124,3,1,1,0.0,0.0,0.0,61,0,52.0
927,0.15849056603773587,0.0024714705673902783,0.1600877192982456,0.13278008298755187,0.22216485974875239,0.00524841220884752,3,1,2,0.0,0.0,2.0,104,29,38.0
21048,0.1667924528301887,0.002680455210956368,0.24232456140350878,0.0,0.40629839958699027,0.006144398534717746,4,2,2,0.0,0.0,4.0,11,0,43.0
5829,0.28452830188679246,0.007559792323782027,0.4133771929824561,0.0,0.4854586129753915,0.015104261793420013,4,3,2,1.0,0.0,3.0,24,0,16.0
5488,0.10641509433962264,0.004854501256633748,0.15460526315789475,0.0,0.29272070211667534,0.011248074490924692,3,1,1,0.0,2.0,0.0,71,0,34.0
14117,0.16150943396226417,0.0038017032551326928,0.23464912280701755,0.0,0.35295129926002416,0.008901279537395368,4,2,2,0.0,0.0,2.0,31,0,23.0
3181,0.12452830188679247,0.005666209727296241,0.18092105263157893,0.0,0.25141972121837897,0.00944691223584198,3,2,2,0.0,0.0,0.0,34,0,29.0
16217,0.1449056603773585,0.0030166478984322512,0.12280701754385966,0.16597510373443983,0.299604198933058,0.0068336187853871525,2,2,1,0.0,2.0,2.0,56,0,22.0
5925,0.06264150943396227,0.0024654130414898117,0.09100877192982457,0.0,0.12407503011529859,0.005110568158713639,2,1,1,0.0,0.0,0.0,100,0,38.0
17918,0.11547169811320755,0.005056216869119278,0.16776315789473684,0.0,0.17742213044226468,0.009921325508386087,2,1,2,0.0,0.0,0.0,103,0,41.0
8743,0.1230188679245283,0.0029591014023778207,0.07346491228070176,0.1991701244813278,0.13612114954396837,0.005460921786137253,3,1,1,3.0,2.0,0.0,77,0,13.0
1341,0.2075471698113208,0.0058982129692841025,0.3015350877192982,0.0,0.42350714162794706,0.009966124824679599,5,2,2,0.0,0.0,6.0,31,0,45.0
14449,0.05433962264150943,0.004237239367376224,0.07894736842105263,0.0,0.1602133884013079,0.007884679667657995,4,1,1,0.0,2.0,1.0,69,0,7.0
16010,0.20452830188679247,0.002999081073320899,0.29714912280701755,0.0,0.4011357769747032,0.005536736013710889,4,2,2,0.0,0.0,2.0,11,0,31.0
10333,0.16603773584905662,0.003205642706526802,0.24122807017543857,0.0,0.3942522801583205,0.006158182939731135,4,2,2,0.0,0.0,2.0,24,0,29.0
11953,0.21660377358490568,0.023890882151439356,0.31469298245614036,0.0,0.6024780588538978,0.04111543405368336,4,2,1,0.0,0.0,6.0,44,0,10.0
11420,0.09886792452830188,0.001606455868803681,0.14364035087719296,0.0,0.22216485974875239,0.003500090172982796,3,2,2,0.0,0.0,0.0,22,0,5.0
15209,0.10943396226415096,0.004627949787956305,0.12171052631578948,0.07053941908713693,0.20667699191189126,0.008625591437127605,4,1,1,0.0,2.0,0.0,78,0,42.0
19143,0.10339622641509434,0.0018657179773436414,0.07785087719298246,0.13692946058091285,0.2238857339528481,0.004255935047883576,3,2,1,0.0,0.0,0.0,85,18,14.0
21596,0.249811320754717,0.005401495845445861,0.36293859649122806,0.0,0.542247461710549,0.010074102663951139,5,2,2,0.0,0.0,4.0,10,0,31.0
20282,0.11750943396226417,0.0045310293735488436,0.1707236842105263,0.0,0.23541559112028915,0.00844179937028243,4,2,2,0.0,0.0,0.0,16,0,24.0
3358,0.10716981132075472,0.0037877709455616197,0.1557017543859649,0.0,0.31337119256582346,0.007926032882698159,3,2,2,0.0,0.0,2.0,31,0,6.0
9747,0.06566037735849056,0.0019262932363483052,0.09539473684210527,0.0,0.16193426260540356,0.003559822594707478,3,1,1,0.0,0.0,0.0,115,0,50.0
156,0.2769811320754717,0.014977232788903097,0.24232456140350878,0.3029045643153527,0.3856479091378421,0.01496067424119722,5,3,2,0.0,0.0,4.0,28,0,25.0
8766,0.0709433962264151,0.00024775280932907447,0.0800438596491228,0.043568464730290454,0.14988814317673382,0.0008259156003855039,2,2,2,0.0,0.0,2.0,20,0,32.0
19247,0.06867924528301887,0.004815733090870763,0.09978070175438596,0.0,0.13784202374806404,0.008386661750228877,3,1,1,0.0,1.0,0.0,63,0,10.0
7338,0.03924528301886793,0.0028591522250201256,0.05701754385964912,0.0,0.2238857339528481,0.005277129719292079,3,1,1,0.0,0.0,1.0,82,0,26.0
1086,0.13509433962264153,0.002156479220566027,0.08223684210526316,0.21576763485477177,0.16193426260540356,0.00393889373257565,4,2,1,0.0,1.0,0.0,62,0,33.0
4706,0.049811320754716976,0.002843402657678913,0.05921052631578948,0.024896265560165973,0.1877473756668388,0.008023672418209657,3,1,1,0.0,0.0,0.0,80,0,13.0
2400,0.049811320754716976,0.0024108953083856145,0.07236842105263158,0.0,0.12751677852348997,0.004421347908044234,3,1,1,0.0,2.0,1.0,81,0,38.0
3856,0.19547169811320758,0.014219436298754754,0.2839912280701754,0.0,0.3563930476682155,0.018790441434083552,4,2,2,1.0,0.0,4.0,22,0,46.0
7229,0.052075471698113204,0.0025926210853996056,0.0756578947368421,0.0,0.28067458268800555,0.007522839036056557,3,1,1,0.0,0.0,0.0,98,0,38.0
2534,0.06415094339622641,0.0047369852541647,0.09320175438596491,0.0,0.10858716227843747,0.008612955732531999,2,1,1,0.0,0.0,0.0,76,0,48.0
10066,0.07169811320754717,0.0055002335176234625,0.10416666666666667,0.0,0.14472552056444676,0.010270530435391919,4,1,1,0.0,0.0,0.0,53,0,27.0
3539,0.139622641509434,0.009346762464419607,0.11842105263157894,0.15975103734439833,0.37876441232145935,0.015647597091031064,5,2,1,3.0,2.0,2.0,56,0,26.0
14601,0.1109433962264151,0.0043493035965348524,0.16118421052631582,0.0,0.25314059542247463,0.0076560882845193075,4,2,1,0.0,2.0,0.0,62,0,6.0
6078,0.1849056603773585,0.0031377984164415785,0.26864035087719296,0.0,0.4493202546893823,0.005318482934332243,4,2,2,0.0,0.0,4.0,18,0,9.0
5147,0.05735849056603774,0.004331131018833453,0.08333333333333333,0.0,0.14128377215625537,0.008062728232414258,3,1,1,0.0,1.0,0.0,69,0,46.0
11044,0.08150943396226415,0.013209040978556965,0.11842105263157894,0.0,0.20323524350369992,0.011796004590206868,3,2,2,0.0,0.0,0.0,31,0,40.0
3273,0.129811320754717,0.006980692847697443,0.18859649122807015,0.0,0.30992944415763213,0.012053313483790113,4,1,1,0.0,0.0,4.0,42,0,4.0
11582,0.18943396226415096,0.021105631742404922,0.27521929824561403,0.0,0.41318189640337294,0.04182073611020172,3,2,2,0.0,0.0,4.0,39,0,29.0
2239,0.08754716981132075,0.004637036076807005,0.12719298245614036,0.0,0.20151436929960426,0.009618068598091549,4,2,1,0.0,2.0,0.0,57,0,49.0
17205,0.17358490566037738,0.006992202146908329,0.25219298245614036,0.0,0.4217862674238514,0.008980539866222348,3,2,2,0.0,0.0,6.0,31,0,45.0
18406,0.11849056603773585,0.004836934431522395,0.17214912280701755,0.0,0.19979349509550853,0.009021893081262514,4,1,1,0.0,2.0,0.0,69,0,52.0
17343,0.0769811320754717,0.005527492384175561,0.1118421052631579,0.0,0.17914300464636035,0.010616289261144404,3,1,1,0.0,0.0,0.0,45,0,7.0
20670,0.18037735849056605,0.00304027224944407,0.26206140350877194,0.0,0.3925314059542248,0.0061352089313754885,4,2,2,0.0,0.0,2.0,11,0,40.0
13890,0.20452830188679247,0.004591604632553507,0.29714912280701755,0.0,0.19807262089141286,0.008556669412060664,4,2,2,0.0,0.0,2.0,32,0,1.0
10211,0.12603773584905661,0.006711738697716736,0.0756578947368421,0.2033195020746888,0.1309585269316813,0.008079958738680993,4,2,1,0.0,1.0,1.0,93,0,10.0
20167,0.13207547169811323,0.0030869151988776613,0.19188596491228072,0.0,0.3409051798313544,0.004693589907058648,4,2,2,0.0,0.0,2.0,12,0,2.0
20900,0.06867924528301887,0.0005330622792410404,0.09978070175438596,0.0,0.16709688521769062,0.0067784811653336,3,2,3,0.0,0.0,2.0,19,0,15.0
20619,0.2588679245283019,0.003782924924841247,0.37609649122807015,0.0,0.4648081225262434,0.007051871864765797,4,3,2,0.0,0.0,4.0,12,0,5.0
1741,0.17509433962264154,0.005116792128123941,0.2543859649122807,0.0,0.34262605403545005,0.008271791708450644,4,2,2,0.0,2.0,2.0,34,0,29.0
21454,0.07547169811320754,0.0004197865449023193,0.10964912280701754,0.0,0.16537601101359495,0.000661651440642629,3,1,3,0.0,0.0,2.0,17,0,14.0
11510,0.17207547169811324,0.004085195467274518,0.1567982456140351,0.1763485477178423,0.3477886766477371,0.008339565033099803,4,2,2,0.0,0.0,2.0,26,0,17.0
11775,0.08150943396226415,0.00419120217053268,0.11842105263157894,0.0,0.3357425572190673,0.0031233164359501875,3,1,1,0.0,2.0,1.0,61,0,52.0
886,0.15924528301886795,0.0015737452289411626,0.16337719298245612,0.12863070539419086,0.29272070211667534,0.003779224374503905,5,3,2,0.0,2.0,0.0,96,0,32.0
7378,0.09811320754716982,0.004385042999347604,0.1425438596491228,0.0,0.20667699191189126,0.007522839036056557,3,1,2,0.0,2.0,0.0,112,40,43.0
5954,0.21886792452830192,0.004451675784252734,0.31798245614035087,0.0,0.3839270349337464,0.006993288143458898,4,2,2,3.0,0.0,4.0,23,0,43.0
10589,0.04905660377358491,0.0004252383182127391,0.0625,0.016597510373443983,0.15539494062984,0.0013658047967432044,2,1,2,0.0,0.0,0.0,20,0,1.0
20714,0.14037735849056607,0.0019390140407392847,0.20394736842105265,0.0,0.30132507313715373,0.00352651028259179,4,2,2,0.0,0.0,2.0,17,0,10.0
4969,0.08679245283018869,0.004455310299793014,0.12609649122807015,0.0,0.2410944759938049,0.009549146573024608,3,1,1,0.0,2.0,2.0,56,0,23.0
14822,0.2354716981132076,0.009386136382772638,0.21162280701754388,0.24688796680497924,0.5783858199965584,0.018288459351512666,3,3,2,2.0,2.0,6.0,51,0,16.0
12730,0.1947169811320755,0.004046427301511534,0.28289473684210525,0.0,0.28067458268800555,0.005455178284048342,4,2,2,0.0,0.0,4.0,16,0,10.0
16159,0.11698113207547171,0.0014265473495598299,0.1699561403508772,0.0,0.14472552056444676,0.005857223430272162,3,2,2,0.0,2.0,0.0,27,0,37.0
11422,0.11773584905660377,0.002512055990923403,0.17105263157894735,0.0,0.25141972121837897,0.006153588138060006,2,2,1,0.0,0.0,2.0,14,0,5.0
2942,0.1418867924528302,0.005535367167846168,0.206140350877193,0.0,0.1877473756668388,0.010430199793463664,4,2,1,0.0,0.0,0.0,58,0,18.0
19137,0.11320754716981134,0.004031283486760368,0.12280701754385966,0.07883817427385892,0.23937360178970923,0.008920807444497667,4,1,1,0.0,0.0,1.0,124,0,41.0
20811,0.11547169811320755,0.22660962092608666,0.16776315789473684,0.0,0.25314059542247463,0.25271753801336855,3,2,2,0.0,0.0,0.0,25,0,10.0
5173,0.15320754716981133,0.004010082146108736,0.2225877192982456,0.0,0.337463431423163,0.008390107851482224,3,2,2,0.0,0.0,2.0,34,0,6.0
15463,0.06037735849056604,0.004773330409567498,0.08771929824561403,0.0,0.12063328170710723,0.011715595560962105,3,2,1,0.0,2.0,1.0,63,0,41.0
19358,0.10566037735849056,0.006259847265541945,0.15350877192982454,0.0,0.34262605403545005,0.007293098952500089,4,1,1,0.0,0.0,0.0,47,0,25.0
9904,0.12905660377358494,0.004176058355781514,0.1875,0.0,0.2755119600757185,0.007768660925461978,3,2,2,0.0,2.0,0.0,31,0,9.0
